gene_id transcript_id K562_1 K562_10 K562_11 K562_12 K562_13 K562_14 K562_15 K562_16 K562_17 K562_18 K562_19 K562_2 K562_20 K562_21 K562_22 K562_23 K562_24 K562_25 K562_26 K562_27 K562_28 K562_29 K562_3 K562_30 K562_31 K562_32 K562_33 K562_34 K562_35 K562_36 K562_37 K562_38 K562_39 K562_4 K562_40 K562_41 K562_42 K562_5 K562_6 K562_7 K562_8 K562_9
ENSG00000264443 ENST00000577528.1_RP4-594I10.3-001 0 0.18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000127423 ENST00000374298.3_AUNIP-001 0.22 6.05 13.24 14.13 5.5 0.24 35.28 9.33 0 3.24 4.42 2.11 34.66 0 18.31 0.99 0.36 0 4.16 60.1 7.77 21.74 0.53 5.89 0 44.46 2.82 13.1 4.05 38.41 5 0.52 2.46 6.9 22.41 2.94 23.71 13.38 9.51 8.43 4.26 10.94
ENSG00000224311 ENST00000425205.1_RP11-40H20.4-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000120656 ENST00000263974.4_TAF12-001 95.86 65.8 120.25 16.74 69.87 29.54 78.42 23.75 161.69 7.04 28.02 135.81 37.53 49.99 15.6 80.62 112.79 40.07 75.76 0 123.65 23.57 35.62 90.44 138.41 112.31 23.69 54.25 17.34 80.91 62.45 187.71 104.36 189.2 71.96 49.72 58.75 23.82 126.98 10.62 67.62 81.41
ENSG00000060688 ENST00000263694.4_SNRNP40-001 41.56 39.9 165.67 131.11 62.77 56.55 157.09 87.18 42.48 253.62 186.24 109.68 69.2 113.06 199.23 132.76 106.66 64.52 190.03 230.13 177.32 88.41 207.28 75.62 86.91 166.34 268.68 111.21 306.88 125.57 125.16 161.79 64.1 15.67 121.37 115.08 84.44 94.55 215.63 154.38 208.45 90.88
ENSG00000176261 ENST00000341885.5_ZBTB8OS-017 100.6 119.49 140.46 99.36 253.78 208.6 301.95 176.09 332.24 226.24 136.17 130.76 63.89 187.75 118.91 65.02 292.51 151.29 26.91 166.04 93.76 215.21 157.55 155.8 134.47 229.52 283.42 208.38 239.73 143.43 121.06 175.6 39.25 322.14 234.66 145.18 174.36 196.77 94.3 192.37 241.68 195.46
ENSG00000004455 ENST00000548559.1_AK2-013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000233621 ENST00000424989.1_RP11-422J8.1-001 0 0 0 0 0.31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000116922 ENST00000358011.4_C1orf109-001 59.22 105.36 40.26 43.95 123.77 15.2 33.29 73.65 100.4 50.74 20.29 69.95 0 29.61 47.73 52.21 82.62 19.23 27.81 134.09 9.83 56.99 20.65 46.92 5.12 31.15 26.7 17.2 33.44 36.35 56.56 0 54.78 15.61 15.21 71.51 41.75 16.05 25.14 55.95 82.51 148.73
ENSG00000116954 ENST00000373001.3_RRAGC-001 29.81 12.33 15.46 6.33 11.61 1.26 0 0 0.43 18.77 1.7 24.83 19.48 19.15 10.68 36.06 26.09 1.15 2.12 24.04 0.33 0.19 5.22 28.35 2.53 35.55 30.03 29.34 14.38 2.48 4.42 0 1.57 14.8 1.04 28.49 6 4.18 23.17 5.4 24.08 0.37
ENSG00000116983 ENST00000372844.3_HPCAL4-001 0 0.07 0 0.09 0 0.1 0 0 0 0 0 0.07 0 0 0 0.13 0 0 0 0 0 0 0.1 0 0 0.12 0 0.08 0 0.21 0.1 0 0 0 0.1 0 0 0 0 0 0 0
ENSG00000238287 ENST00000450713.1_RP11-656D10.3-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.01 0 0 0 0 0 0 0 0 0
ENSG00000010803 ENST00000337495.5_SCMH1-003 0 0 8.44 0 0 0 1.02 18.38 0 0 10.4 2.58 3.19 0 0 0 51.14 0 0 24.7 0 0 3.67 0 0 0 0 2.8 0 0 4.26 7.21 0 5.14 17.05 0 0 0 0 0 0 0
ENSG00000117385 ENST00000236040.4_LEPRE1-002 1.02 28.66 0.26 0 76.88 6.72 2.26 3.88 1.23 0 0 0 0 4.51 0 0.7 16.74 26.83 17.14 3.68 0 45.31 6.01 5.79 0 5.58 36.34 7.37 0.48 8.72 13.27 80.68 3.21 0 0 0 11.24 4.42 4.72 25.31 2.06 12.01
ENSG00000228192 ENST00000414798.1_RP11-342M1.3-004 1.68 0 1.28 0 0 0 19.83 0 0 20.37 0 0 0 0 0 0 0 6.04 0 0 26.21 6.92 0 0 0 0 0 0 0 0 26.62 15.47 0 0 0 29.52 0 0 0 13.24 0 0.22
ENSG00000117394 ENST00000372500.3_SLC2A1-003 5.13 112.75 12.29 24.77 9.47 34.85 7.94 35.2 49.18 12.42 9.88 98.77 22.41 28.09 4.97 2.97 49.69 45.44 13.9 11.19 11.36 10.24 18.16 22.65 33.59 9.64 54.33 19.19 69.41 42.45 22.55 15.16 0 13.99 1.42 43.47 2.2 29.2 31.43 0.38 31.19 39.8
ENSG00000234694 ENST00000424948.1_RP1-92O14.3-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000159479 ENST00000290663.6_MED8-002 95.09 110.39 163.61 56.65 193.97 27.74 50.72 83.39 62.86 73.65 68.08 108.35 152.56 99.99 142.69 83.54 40.36 23.48 93.41 148.25 35.68 45.76 79.24 55.39 4.3 40.83 119.99 3.64 22.34 87.61 131.43 43.09 24.63 104.65 32.02 186.46 30.03 84.56 7.91 96.2 138.09 113.32
ENSG00000237950 ENST00000412378.1_RP11-7O11.3-002 0 0 0 0 0 0 0 0 7.3 0 37.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.1 0 5.28 33.73 0 0 2.54 0 0 0 0 0
ENSG00000126106 ENST00000372235.3_TMEM53-008 1.71 48.07 2.91 24.79 0 0 0 0 0 0 0 0 33.98 56.9 19.93 0 0 96.17 8.51 0 0 0 0 18.44 0 0 31.72 0 0 0 1.03 15.86 0.38 2.64 0 0 19.83 0.24 0 0 0 0.35
ENSG00000132128 ENST00000343304.6_LRRC41-001 12.22 12.32 33.09 50.88 24.77 21.53 16.13 21.41 13.29 6.82 26.52 6.56 46.68 44.96 10.75 85.92 12.13 0 1.81 5.66 23.95 59.96 22.09 41.65 22.62 44.64 6.67 13.2 27.69 5.04 13.11 3.75 47.29 10.79 48.5 25.52 2.25 13.64 42.76 67.29 81.55 11.11
ENSG00000123472 ENST00000525633.1_ATPAF1-010 0 0 0 0 0 0 0 0 0 0 0 0 0 2.72 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000185104 ENST00000371778.4_FAF1-201 0.72 1.4 0 28.64 0 16.79 6.33 17.31 77.17 21.57 2.2 0.52 8.13 27.56 11.99 0.98 1.78 0.72 31.34 10.15 15.58 0 0 8.02 35.72 0 26.31 6.97 31.68 16.36 5.86 0 1.36 1.5 15.36 0.74 14.64 29.41 0 46.37 6.08 5.12
ENSG00000085840 ENST00000371566.1_ORC1-002 69.28 138.02 90.27 76.66 60.29 96.58 4.01 68.22 24.36 87.73 95.56 2.44 67.94 97.38 161.42 109.25 160.11 6.79 31.26 49.08 222.95 59.73 32.44 44.41 155.41 19.78 90.83 5.66 30.98 102.7 56.63 223.8 25.18 9.25 167.1 110.34 36.17 178.08 66.92 241.46 12 30.98
ENSG00000121310 ENST00000476477.2_ECHDC2-022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000162384 ENST00000294360.4_C1orf123-001 126.73 148.19 59.45 79.39 112.66 97.24 113.25 23.84 78.69 15.4 88.57 33.23 50.79 91.91 114.11 65.78 1.89 94.67 69.75 12.75 36.11 120.74 130.11 48.7 103.17 45.37 53.51 87.51 131.47 118.66 95.15 77.5 120.68 72.72 69.88 230.79 71.1 237.8 104.76 100.63 59.66 70.86
ENSG00000157193 ENST00000306052.6_LRP8-001 0 0 32.62 0.31 2.16 0.26 2.37 14.3 15.9 7.14 0.68 0 0.24 11.73 0 2.29 46.72 0.47 21.82 23.17 57.98 31.83 0.61 6.78 0 0.25 0 0.94 2.57 0.19 7.47 0.22 9.54 15.76 19.78 2.98 13.56 0 2.91 0 0 2.23
ENSG00000081870 ENST00000194214.5_HSPB11-001 47.92 179.57 136.65 48.42 84.16 68.49 161.94 174.87 88.33 113.64 184.06 156.92 138.12 113.35 121.32 90.51 167.85 284.73 143.4 82.93 65.61 74.71 176 135.89 30.94 187.81 166.72 133.03 123.35 52.75 101.59 87.17 94.57 128.85 120.18 67.44 153.89 123.34 131.81 139.27 67.22 128.07
ENSG00000116209 ENST00000234831.5_TMEM59-001 39.71 189.57 106.34 103.73 80.46 5.2 118.3 98.56 181.48 132.68 112.84 79.89 151.12 71.56 81.44 75.67 62.33 75.18 90.64 76.39 120.03 108.23 168.8 125.99 151.69 112.05 58.71 181.88 54.47 139.89 203.22 58.54 162.54 97.44 26.15 113.45 154.33 54.6 109.12 65.58 167.37 52.83
ENSG00000230250 ENST00000458145.1_RP11-90C4.2-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000162407 ENST00000461655.1_PPAP2B-004 0 0 0 0 0 0 0 0 0 0 0 0 0 1.12 0 0 0 0 0 0 0 0 0 0 0 0 1.11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000116641 ENST00000251157.5_DOCK7-201 0 0.13 0 0.6 0 0.46 0 0.28 0 0 0 0 0 0.25 1.11 0 0 0 0.65 0 0 7.94 0 2.83 0.11 0 0 0 0 8.46 5.45 37.64 2.28 0.18 0 0.69 3.53 0 0 0 0 0
ENSG00000152763 ENST00000371022.3_WDR78-006 0 0 0 2.82 0 0 0 0 4.1 0 0 0 0 0 0 0 0 0 0 0 0 0.14 0 0 0 0 0 0 0 5.07 0 0.34 0 0 0 4.95 0 0.13 0 0 27.54 0
ENSG00000066557 ENST00000370952.3_LRRC40-001 0 5.19 8.93 14.39 6.79 1.54 35.52 42.95 25.48 36.01 37.46 20.12 5.76 12.59 19.21 21.38 68.18 29.43 70.93 11.09 4.53 20.4 39.32 9.29 6.27 35 19.8 0 3.86 34.81 35.59 7.8 10.58 14.19 10.83 15.14 4 20.24 4.39 0 36.72 1.21
ENSG00000118454 ENST00000262346.6_ANKRD13C-002 16.18 1.75 0 3.83 1.01 3.68 26.99 0 0 3.83 0.56 17.09 0.78 7.06 3.34 2.07 11.81 0 4.04 0.78 0 0 0 8.3 0.61 6.03 10.24 0 4.04 0 0.29 0.12 0 0 0 44.56 1.28 1.79 0.45 0 1.49 0
ENSG00000132485 ENST00000254821.6_ZRANB2-002 56.62 101.7 82.29 93.27 41.84 78.2 64.29 37.93 72.11 35.32 62.75 119.07 87.15 75.08 97.71 64.68 89.54 73.64 89.79 49.63 108.19 33.8 41.54 40.34 72.47 102 67.19 56.51 63.62 77.14 37.43 87.34 63.46 64.02 90.9 67.89 94.92 54.34 48.16 115.57 63.46 64.07
ENSG00000162620 ENST00000354431.4_LRRIQ3-201 0 0.07 0 0 3.95 0 0 0 0 0 0 17.47 0 0 0 0.35 0 0 0 4.89 0 0.34 0.25 0 0 0.32 0 0 0.19 0 0 0 0.15 0.13 0 0 0 17.55 0.33 0 0 0
ENSG00000178193 ENST00000433521.2_RP4-682C21.5-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48.89 0 0 0 0 0 0 0
ENSG00000162613 ENST00000294623.4_FUBP1-001 45.34 32.23 51.55 18.57 61.98 51 46.02 64.01 4.83 18.61 61.6 30.07 44.2 32.37 13.95 41.34 58.4 50.61 129.49 93.38 32.46 91.48 170.64 31.95 99.73 85.27 57.62 66.2 14.49 17.82 19.64 23.51 52.17 90.68 61.25 21.15 105.81 29.39 24.86 17.17 32.53 69.45
ENSG00000183291 ENST00000331835.5_SEP15-001 332.13 226.95 403.01 192.46 111.66 332.01 360.36 233.77 116.98 251.97 280.47 227.1 605.55 87.94 246.17 260.35 343.59 222.79 183.29 173.15 229.04 189.8 470.05 208.04 361.18 224.26 268.77 143.33 577.16 182.97 322.54 308.75 359.4 227.35 211.14 290.34 117.98 198.08 237.37 330.66 237.58 106.12
ENSG00000231999 ENST00000415584.2_RP5-1007M22.2-002 0 0.95 0 0 0 0 0 0 0 1.07 13.04 0 0 0 0 0 0 1.65 0 0 0 0 4.37 0 0 0 0 0 0 0 0 0 0 0 0.61 0 0 0 0 22.64 0 0
ENSG00000233593 ENST00000435649.2_RP4-665J23.1-004 33.53 35.87 21.22 11.79 10.57 5.18 17.14 21.29 36.77 3.77 5.08 18.36 29.36 13.54 5.37 13.07 13.61 15.28 0 0.83 1.2 0.82 38.4 18.6 13.22 11.89 0 36.56 0 24.53 0 26.24 16.71 0 8.74 3.18 8.48 0 13.21 0 16.01 0
ENSG00000224081 ENST00000414374.1_LINC01057-004 0 0 0 0 0 0 0 0 0 0 0 0.84 0 0 0.45 0.49 0 0.41 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0.39 0 0 0 0 0 0 0 0 0.4 0
ENSG00000117519 ENST00000370206.4_CNN3-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.39 0 0 0 0 0.27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000226026 ENST00000419846.1_RP11-57H12.3-002 0.19 0.27 0 0 0 0 0 0 0.17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000156876 ENST00000287482.5_SASS6-001 6.61 52.21 8.59 9.08 4.58 18.11 0.72 16.2 0 26.54 6.05 21.39 14.86 10.09 10.8 5.29 15.54 7.67 0.99 5.85 29.84 15.17 26.9 15.24 29.36 4.59 10.07 4.11 44.07 21.8 13.42 16.64 11.13 6.44 3.59 35.95 28.8 34.31 10.7 9.33 10.52 2.9
ENSG00000224616 ENST00000421185.1_RP11-305E17.6-001 0 11.76 32.76 0 0 0 0 0 6.22 2.2 0 0 9.78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.84 8.84 0 0 0 0 0 0 0 0 0 0
ENSG00000162694 ENST00000370113.3_EXTL2-002 0 15.22 4.34 21.66 13.25 17.53 29.31 29.82 20.91 48.65 22.07 39.98 3.67 36.75 4.76 37.96 92.27 0.87 46.78 2.49 0.34 16.24 88.54 3.01 0.5 31.17 70.63 11 17.21 1.65 22.74 14.47 49.9 16.26 17.92 13.22 91.1 25.98 30.9 0 0.98 0.18
ENSG00000224613 ENST00000444810.1_RP11-153F1.1-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000155367 ENST00000309276.6_PPM1J-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52.91 0 0.61 0 0.21 0 0.65 0 0 0
ENSG00000238198 ENST00000421157.1_RP11-31F15.2-001 0.19 0 10.78 0 2.39 0 0 3.58 0 0 0.24 18.17 0.45 5.99 0 0 0 0 0 0.87 0.18 2.36 0.21 0 0.17 0 0 2.86 3.46 3.62 0.2 0 0 0.19 0 0 0.21 0 0 0 0.83 0
ENSG00000236866 ENST00000425010.1_AL157902.3-002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000196505 ENST00000369442.3_GDAP2-002 6.84 17.29 2.66 0.71 12.62 0.8 0.7 16.87 0.67 0.08 19.24 0 0.08 8.25 14.71 0 0 12.53 8.92 0.42 24.59 14.78 2.42 0 13.18 23.58 0 25.85 2.38 0 7.42 9.47 40.55 12.12 22.77 10.35 1.34 8.73 0.06 35.29 48.26 8.98
ENSG00000215784 ENST00000400889.1_FAM72D-001 2.71 7.48 0 7.39 0 10.21 1.2 4.57 0.18 0 6.44 0 9.01 3.03 0 6.35 0 2.6 0 0 0.48 0 17.08 1.64 4.53 0 2.31 2.16 7.09 11.35 0 0 0 0 4.16 6.75 1.38 5.45 5.82 0 9.68 11.92
ENSG00000121851 ENST00000369313.3_POLR3GL-004 0 11.73 19.04 40.12 44.53 38.15 4.07 24.36 23.66 29.86 34.78 8.74 20.5 19.56 50.59 55.42 0 57.94 5.23 5.48 39.12 19.94 19.76 38.81 24.53 46.14 1.54 1.4 83.5 46.07 38.04 0 44.47 21.07 22.46 19.27 66.56 27.28 101.5 2.96 36.34 22.16
ENSG00000211451 ENST00000312753.5_GNRHR2-002 0.48 0 0 0 0 0 0 0 0 0 0 0 0.59 1.58 0 0 0.64 0 1.9 0 0 0 0 0 0 0 0 0.92 14.45 0 0 66.08 0 0 0 0.53 0 0 0 10.5 0 0
ENSG00000186141 ENST00000334163.3_POLR3C-001 82.75 80.23 40.96 28.42 26.51 104.37 42.78 62.6 27.83 115.12 72.76 82.37 76.56 51.87 0.73 119.34 55.6 103.74 59.18 30.5 52.1 155.21 39.8 71.9 56.09 122.04 26.3 31.01 38.33 1.43 34.29 17.52 27.49 55.19 0 63.75 54.34 25.11 77.04 85.3 38.51 0
ENSG00000117262 ENST00000313835.9_GPR89A-001 39.34 6.83 16.83 27.91 60.09 33.15 81.31 94.68 122.43 16.81 94.31 69.8 7.06 16.88 127.63 56.23 99.13 55.1 40.04 0 119.56 106.54 178.66 60.06 191.78 162.63 118.56 39.11 25.9 74.13 132.79 53.06 7.15 14.26 56.88 110.09 46.72 36.83 17.72 89.61 5.79 42.36
ENSG00000203836 ENST00000606982.1_NBPF24-009 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000143409 ENST00000312210.5_FAM63A-002 0 29.29 0.25 28.48 0.5 0 0 0 47.42 0 0 0 7.37 0.77 0 0 0 0 0 0 0 0 1.23 0.32 29.93 0 0 0 43.53 0 0 0 1.94 1.59 0 0 1.27 0 0 0 28.51 54.02
ENSG00000197622 ENST00000439374.2_CDC42SE1-001 15.33 0 0 0 0 0 0 0 2.44 0 0 0 0 0 0 0 0 0 0 0.39 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32 0 0 0 0 0 0 0 0
ENSG00000197747 ENST00000368809.1_S100A10-002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.89 0 0 37.99 0 0 0 0 0 0 0 0
ENSG00000169291 ENST00000304760.2_SHE-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24
