gene_id transcript_id scRNAseq_HepG2_72x_15_1.1 scRNAseq_HepG2_72x_15_1.2 scRNAseq_HepG2_72x_15_1.3 scRNAseq_HepG2_72x_15_1.4 scRNAseq_HepG2_72x_15_1.5 scRNAseq_HepG2_72x_15_1.6 scRNAseq_HepG2_72x_15_1.8 scRNAseq_HepG2_72x_15_2.1 scRNAseq_HepG2_72x_15_2.2 scRNAseq_HepG2_72x_15_2.3 scRNAseq_HepG2_72x_15_2.4 scRNAseq_HepG2_72x_15_2.5 scRNAseq_HepG2_72x_15_2.6 scRNAseq_HepG2_72x_15_2.7 scRNAseq_HepG2_72x_15_2.8 scRNAseq_HepG2_72x_15_3.1 scRNAseq_HepG2_72x_15_3.2 scRNAseq_HepG2_72x_15_3.3 scRNAseq_HepG2_72x_15_3.4 scRNAseq_HepG2_72x_15_3.5 scRNAseq_HepG2_72x_15_3.7 scRNAseq_HepG2_72x_15_3.8 scRNAseq_HepG2_72x_15_4.1 scRNAseq_HepG2_72x_15_4.2 scRNAseq_HepG2_72x_15_4.3 scRNAseq_HepG2_72x_15_4.4 scRNAseq_HepG2_72x_15_4.5 scRNAseq_HepG2_72x_15_4.6 scRNAseq_HepG2_72x_15_4.7 scRNAseq_HepG2_72x_15_4.8 scRNAseq_HepG2_72x_15_5.1 scRNAseq_HepG2_72x_15_5.2 scRNAseq_HepG2_72x_15_5.4 scRNAseq_HepG2_72x_15_5.5 scRNAseq_HepG2_72x_15_5.6 scRNAseq_HepG2_72x_15_5.7 scRNAseq_HepG2_72x_15_5.8 scRNAseq_HepG2_72x_15_6.1 scRNAseq_HepG2_72x_15_6.2 scRNAseq_HepG2_72x_15_6.3 scRNAseq_HepG2_72x_15_6.4 scRNAseq_HepG2_72x_15_6.5 scRNAseq_HepG2_72x_15_6.6 scRNAseq_HepG2_72x_15_6.7 scRNAseq_HepG2_72x_15_6.8 scRNAseq_HepG2_72x_15_7.1 scRNAseq_HepG2_72x_15_7.2 scRNAseq_HepG2_72x_15_7.3 scRNAseq_HepG2_72x_15_7.4 scRNAseq_HepG2_72x_15_7.5 scRNAseq_HepG2_72x_15_7.6 scRNAseq_HepG2_72x_15_8.1 scRNAseq_HepG2_72x_15_8.2 scRNAseq_HepG2_72x_15_8.3 scRNAseq_HepG2_72x_15_8.4 scRNAseq_HepG2_72x_15_8.6 scRNAseq_HepG2_72x_15_8.7 scRNAseq_HepG2_72x_15_8.8 scRNAseq_HepG2_72x_15_9.1 scRNAseq_HepG2_72x_15_9.2 scRNAseq_HepG2_72x_15_9.3 scRNAseq_HepG2_72x_15_9.5 scRNAseq_HepG2_72x_15_9.6 scRNAseq_HepG2_72x_15_9.7 scRNAseq_HepG2_72x_15_9.8
ENSG00000060688 ENST00000263694.4_SNRNP40-001 214.66 312.68 412.01 166.68 280.08 300.74 377.15 261.62 257.01 232.8 218.28 503.38 240.54 318.99 153.81 172.79 218.56 159 170.68 186.6 152.4 289.08 4.28 65.59 418.35 414.07 386.27 165 331.4 371 102.97 323.57 49.29 441.3 317.76 154.77 162.52 158.41 266.38 0 122.89 227.44 150.08 137.39 0.77 136.98 369.76 40.77 297.3 224.96 2.49 433.66 4.75 256.66 0 379.23 328.03 123.08 360.98 2.95 246.96 70.33 0 112.08 358.29
ENSG00000176261 ENST00000341885.5_ZBTB8OS-017 151.12 0 1.72 275.07 225.23 228.3 263.99 171.98 373.6 288.08 235.91 288.86 226.98 246.83 255.42 256.94 241.24 349.35 367.67 284.85 213.63 197.55 201.35 466.96 521.78 288.27 552.14 342.54 197.24 434.67 153.19 266.08 214.79 480.12 648.39 96.1 491.55 207.7 253.52 419.84 244.12 242.14 0.46 201.07 139.83 394.08 80.96 374.95 358.89 368.95 182.88 373.71 572.05 493.04 284.13 212.72 262.95 178.92 185.04 390.98 382.1 250.43 202.26 263.18 136.33
ENSG00000004455 ENST00000548559.1_AK2-013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000233621 ENST00000424989.1_RP11-422J8.1-001 0 0 0 0 12.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18.01 0 0 0 0 0 0 2.41 0 0 0 52.53 0 77.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000116922 ENST00000358011.4_C1orf109-001 93.37 36.57 0 79.93 19.47 54.59 47.31 39.84 3.62 0 1.86 0 40.33 47.71 9.11 28.27 25.03 0 10.87 38.47 21.65 0 0 0 0.3 0 26.54 25.78 0 110.84 52.07 0 9 37.1 0.72 0 6 6.53 0.75 24.48 23.74 0 0.15 0 0 21.31 50.25 204.8 63.77 0.47 16.83 0.36 0 0 0 25.99 24.77 46.74 16.67 51.23 8.57 13.43 0 0 45.96
ENSG00000116954 ENST00000373001.3_RRAGC-001 0 0 0 35.3 1.93 3.34 6.62 11 1.42 0 0 0.24 10.87 19.92 0 16.96 0.81 0 6.17 20.32 3.45 0.49 10.48 0 0 0 0 0 20.73 0 1.95 0 7.63 33.97 0.18 0 5.88 3.58 2.71 38.56 2.02 28.98 0 0 1.21 1.43 0 9.46 6.9 116.21 6.31 0.16 45.42 0 0 60.51 0.34 57.44 7.57 0 0 37.81 0 1.13 14.29
ENSG00000116983 ENST00000372844.3_HPCAL4-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000238287 ENST00000450713.1_RP11-656D10.3-001 0 13.43 0 0 0 2.13 0 0 0 4.8 0 6.19 0 0 0 11.08 1.37 0 9.97 7.12 0 0 0 29.16 0 0 0 0 0 0 0 0 20.5 0 38.25 0 0 0 0 0 4.42 0 63.25 0 0 0 0 13.91 0 0 0 0 3.46 0 0 0 0 0 0 0 0 0 0 23.98 18.72
ENSG00000010803 ENST00000337495.5_SCMH1-003 0 0 0 0 3.08 0.86 0 12 11.35 2.89 12.76 6.97 1.43 0 0 0 0 0 3.18 0 8.36 0 0 20.42 9.8 0 0 0 0 0 0 0 11.54 0 9.33 15.4 0 0 0 0 8.29 0 0 0 38.65 0 0 0 0 0 0 8.7 0 0 0 8.9 0 0 0 0 0 0 0 0 0
ENSG00000117385 ENST00000236040.4_LEPRE1-002 7.69 0 0 7.99 3.2 9.02 0 15.11 91.97 81.62 29.65 0 9.08 48.48 0 37.59 39.34 11.58 19.14 2.36 14.8 18.42 10.54 11.91 19.88 2.35 0 0 35.29 0 23.8 6.07 5.21 58.41 56.69 98.36 58.47 22.02 31.49 18.95 29.6 16.88 0.9 0 14.08 11.76 15.87 0 0 94.78 62.76 0 11.21 9.18 0 11.41 22.26 0 0 1.66 19.5 25.77 10.1 6.4 0
ENSG00000228192 ENST00000414798.1_RP11-342M1.3-004 66.91 5.16 0 58.23 0 0 0 20.59 0 0 0 11.48 21.03 82.19 30.35 20.02 6.81 51.25 16.58 0 14.76 10.05 0 10.19 0 0 0 0 7.47 0 15.11 30.93 43.65 0 0 0 42.74 0 39.45 0 18.69 0 0 0 85.77 0 68.45 0 40.68 0 0 39.31 96.01 0 0 0 0 0 0 0 0 0 0 40.29 0
ENSG00000117394 ENST00000372500.3_SLC2A1-003 46.4 87.09 0.3 211.15 341.94 414.86 60.47 280.44 27.02 147.64 175.67 111.63 154.52 468.6 23.08 84.43 79.58 148.9 145.52 72.67 147.11 133.36 42.88 126.82 25.41 1152.99 278.53 175.59 57.22 44.81 118.76 131.39 141.81 668.06 96.73 66.68 189.72 294.49 100.79 1.82 188.71 198.43 12.66 0.4 48.98 17.16 129.47 84.92 1.57 96.92 54.29 316.4 279.83 45.17 262 77.38 4.21 0.68 325.93 52.57 62.99 142.16 71.15 62.69 184.41
ENSG00000234694 ENST00000424948.1_RP1-92O14.3-001 0 0 0 0 0 0 0 4.55 0 0 0 0 0 0 0 0 0 0 12.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000159479 ENST00000290663.6_MED8-002 45.77 103.56 0.36 175.81 77.91 73.37 286.97 55.45 112.42 111.94 68.19 64.8 94 22.05 147.26 113.21 49.96 68.5 95.92 86.9 42.76 94.89 39.65 47.79 29.33 185.63 98.45 40.95 70.59 29.89 63.78 95.3 44.22 41.65 0 56.74 78.33 38.6 173.21 0 43.41 72.43 0 0 14.38 163.28 88.95 15.82 123.01 134.69 26.93 67.25 0 142.64 0.42 115.58 138.84 228.64 102.78 89.5 182.2 70.52 0 112.32 101.11
ENSG00000237950 ENST00000412378.1_RP11-7O11.3-002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000126106 ENST00000372235.3_TMEM53-008 58.96 7.22 112.34 44.41 36.95 55.37 68.7 30.24 0 52.62 32.75 55.06 17.51 39 45.51 21.02 65 200.16 18.32 61.07 43.56 11.59 1.32 0 44.08 34.33 171.61 65.34 0 24.98 29.23 49.48 48.63 0 0 80.46 0.25 23.95 1.05 17.36 14.01 56.21 0 0 64.15 60.41 36.93 156.13 20.87 0 0 18.61 0.75 59.6 150.43 27.03 0 0 27.57 48.54 17.37 0 78.59 44.11 81.14
ENSG00000132128 ENST00000343304.6_LRRC41-001 71.39 37.55 165.36 3.23 21.36 120.14 15.99 0 19.78 23.65 18.69 23.68 37.05 0 66.13 45.22 16.98 0 0 1.06 42.34 0.42 28.87 14.46 26.46 0 0.17 5.1 0 0 0 22.6 4.62 98.05 0 44.15 0 165.51 0 41.21 8.85 0 0.11 0 11.03 0 0 0.27 25.15 0 19.22 26.24 3.89 30.69 78.44 0 0 0.18 0.4 0 0 10.54 0 13.46 0.13
ENSG00000123472 ENST00000525633.1_ATPAF1-010 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000185104 ENST00000371778.4_FAF1-201 0 0 0 0 0 8.65 0 0.22 0.15 0 0 0 0.26 9.41 0 0 0 0 1.85 0 0 0 0.64 4.32 16.14 0 0 0 28.28 3.02 27.2 0 0.62 0 0 0 0 0 0 0 0 0 0 1.72 0 8.25 0 0 0 0 0 0.69 0 0 0 0 39.18 0 0 0.57 0 17.59 0 1.9 0
ENSG00000085840 ENST00000371566.1_ORC1-002 0 0 0 0 8.8 0 11.1 1.19 18.41 1.45 0 4.5 15.88 0 24.2 24.23 0 30.23 19.71 0 0 17.66 0 0.15 0.15 0 0 3.15 0 0.16 0 0 20.58 2.28 0 9.42 0 0 14.35 0 1.27 32.02 0 0 0 0.16 16.47 0 0 0 0 0 0 0 0 34.09 59.05 0.18 0.7 0 0 4.68 0 0 0.27
ENSG00000121310 ENST00000476477.2_ECHDC2-022 0 0 0 0 0 0 2.74 0 0 0 0 0 0 1.94 0 0 0 0 2.53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.11 0 0 0 5.58 0 0 0 0 0 0 0 0 0 0 0 0 0 0.28 0 0 0 0 0 0 0 0 0
ENSG00000162384 ENST00000294360.4_C1orf123-001 110.58 54.01 0 0 65.91 76.88 54.13 85.99 53.29 55.45 124.54 61.64 55.34 28.51 0 51.75 60.82 24.68 70.2 61.78 32.66 115.63 163 0.72 148.88 0 3.54 98.22 40.81 12.28 61.03 0 4.23 109.66 79.37 0.58 35.06 24.91 98.73 62.78 59.94 134.88 0 83.05 1.16 59.16 68.98 0.46 42.14 112.34 39.24 72.94 41.38 42.89 112.32 52.88 89.13 0.87 46 86.26 43.38 45.2 0.06 63.92 0.65
ENSG00000157193 ENST00000306052.6_LRP8-001 0 0 0 0 8.55 1.76 0 12.43 0 0 0 9.32 0.25 0 0 0 0.35 0 0 0 23.63 11.24 0 0 0 6.17 0 25.71 0 0 0 8.3 11.82 0 0 8.57 0 0 24 0 5.75 0 0 0 0.49 22.21 0 0 18.58 0 0 0 0 0.53 0 0.56 0 0 0 0 0.1 3.73 37.96 16.24 13.95
ENSG00000081870 ENST00000194214.5_HSPB11-001 2.61 38.5 185.1 56.01 65.71 50.3 54.66 50.47 73.37 66.03 80.06 61.24 76.24 35.1 33.09 115.94 71.19 52.05 88.77 72.73 40.97 93.03 29.53 47.56 115.29 82.32 76.05 134.85 122.98 170.99 60.43 44.82 58.99 149.91 129.65 163.98 43.74 200.21 115.7 74.8 99.49 83.06 98.24 0 1.29 117.91 104.96 164.24 81.91 174.99 129.76 115.11 167.96 83.9 73.58 122.08 80.52 0 49.36 83.74 67.15 207.62 0 118.06 61.07
